Age,NormGrp,Mn,SD,Scale
6,Male,6,4.65,IN
7,Male,6.18,4.91,IN
8,Male,6.18,4.91,IN
9,Male,6.24,4.24,IN
10,Male,6.48,5.06,IN
11,Male,6.74,4.91,IN
12,Male,6.47,5.58,IN
13,Male,6.7,5.29,IN
14,Male,6.33,5.21,IN
15,Male,5.16,4.15,IN
16,Male,5.45,5.03,IN
17,Male,4.73,4.73,IN
18,Male,4.73,4.73,IN
6,Female,4.98,4.29,IN
7,Female,4.98,4.29,IN
8,Female,5.32,4.99,IN
9,Female,5.64,4.87,IN
10,Female,5.53,4.8,IN
11,Female,4.9,3.99,IN
12,Female,5.38,4.8,IN
13,Female,4.46,4.25,IN
14,Female,5.28,4.7,IN
15,Female,4.94,4.72,IN
16,Female,4.92,5.77,IN
17,Female,5.56,5.54,IN
18,Female,5.56,5.54,IN
6,Total,5.49,4.22,IN
7,Total,5.75,4.77,IN
8,Total,5.44,5.27,IN
9,Total,6.16,4.51,IN
10,Total,6.01,4.93,IN
11,Total,5.82,4.54,IN
12,Total,5.92,5.2,IN
13,Total,5.58,4.91,IN
14,Total,5.61,4.96,IN
15,Total,5.05,4.42,IN
16,Total,5.18,5.39,IN
17,Total,5.48,5.06,IN
18,Total,5.48,5.06,IN
6,Male,8.6,5.96,HY
7,Male,8.89,7.1,HY
8,Male,7.32,6.73,HY
9,Male,7.88,6.74,HY
10,Male,6.1,5.89,HY
11,Male,5.48,5.02,HY
12,Male,5.28,5.84,HY
13,Male,5.59,5.71,HY
14,Male,5.59,5.71,HY
15,Male,4.88,5.21,HY
16,Male,4.14,5.24,HY
17,Male,3.21,4.62,HY
18,Male,3.21,4.62,HY
6,Female,6.98,5.48,HY
7,Female,6.51,5.89,HY
8,Female,6.9,6,HY
9,Female,6.03,5.69,HY
10,Female,4.56,4.46,HY
11,Female,4.4,4.8,HY
12,Female,4.63,5.53,HY
13,Female,3.8,4.43,HY
14,Female,4.05,4.99,HY
15,Female,3.5,4.63,HY
16,Female,3.96,5.2,HY
17,Female,4.24,5.71,HY
18,Female,4.24,5.71,HY
6,Total,7.78,5.75,HY
7,Total,7.67,6.63,HY
8,Total,7.11,6.35,HY
9,Total,7.27,6.66,HY
10,Total,5.33,5.26,HY
11,Total,4.93,4.91,HY
12,Total,4.96,5.67,HY
13,Total,5.18,5.77,HY
14,Total,4.86,5.42,HY
15,Total,4.48,5.23,HY
16,Total,4.05,5.19,HY
17,Total,3.86,5.48,HY
18,Total,3.86,5.48,HY
6,Male,5.81,4.9,LP
7,Male,5.39,4.38,LP
8,Male,4.52,4.27,LP
9,Male,4.23,4.25,LP
10,Male,4.11,4.09,LP
11,Male,4.45,4.34,LP
12,Male,4.12,4.59,LP
13,Male,4.34,4.32,LP
14,Male,4.34,4.32,LP
15,Male,3.86,3.42,LP
16,Male,3.83,3.89,LP
17,Male,3.76,4.31,LP
18,Male,3.76,4.31,LP
6,Female,4.52,3.63,LP
7,Female,4.07,3.78,LP
8,Female,4.14,4.16,LP
9,Female,4.42,4.02,LP
10,Female,4.15,4.05,LP
11,Female,4.64,4.72,LP
12,Female,4.14,3.92,LP
