Age,NormGrp,Mn,SD,Scale
8,Male,5.42,4.74,IN
9,Male,6.5,5.44,IN
10,Male,7.17,5.22,IN
11,Male,6.48,5.53,IN
12,Male,6.29,5.18,IN
13,Male,6.29,5.18,IN
14,Male,7.04,6.55,IN
15,Male,6.85,5.5,IN
16,Male,7.71,6.21,IN
17,Male,7.76,5.38,IN
18,Male,7.76,5.38,IN
8,Female,6.88,5.55,IN
9,Female,6.94,5.62,IN
10,Female,5.61,5.18,IN
11,Female,6.23,4.41,IN
12,Female,5.68,4.77,IN
13,Female,5.9,4.87,IN
14,Female,7.4,6.07,IN
15,Female,8.2,6.17,IN
16,Female,8.28,6.2,IN
17,Female,9.13,5.33,IN
18,Female,9.13,5.33,IN
8,Total,6.17,5.26,IN
9,Total,6.71,5.51,IN
10,Total,6.238,5.23,IN
11,Total,6.36,4.99,IN
12,Total,5.89,4.81,IN
13,Total,5.91,4.47,IN
14,Total,7.22,6.28,IN
15,Total,7.54,5.86,IN
16,Total,8,6.18,IN
17,Total,8.43,5.37,IN
18,Total,8.43,5.37,IN
8,Male,7.8,6.43,HY
9,Male,8.67,6.45,HY
10,Male,8.65,6.12,HY
11,Male,7.91,6.65,HY
12,Male,8.2,6.09,HY
13,Male,7.92,6.05,HY
14,Male,8.52,7,HY
15,Male,7.66,6.61,HY
16,Male,7.63,6.9,HY
17,Male,8.4,6.17,HY
18,Male,8.4,6.17,HY
8,Female,9.11,5.89,HY
9,Female,8.41,6.32,HY
10,Female,7.79,6.34,HY
11,Female,7.78,6.46,HY
12,Female,7.14,5.84,HY
13,Female,8.15,5.55,HY
14,Female,7.92,7.04,HY
15,Female,8.3,7.29,HY
16,Female,8.03,6.29,HY
17,Female,8.54,6.63,HY
18,Female,8.54,6.63,HY
8,Total,8.03,6.22,HY
9,Total,8.54,6.35,HY
10,Total,8.22,6.22,HY
11,Total,7.84,6.51,HY
12,Total,7.58,6.08,HY
13,Total,8.03,5.78,HY
14,Total,8.22,6.99,HY
15,Total,7.59,6.67,HY
16,Total,8.37,6.54,HY
17,Total,8.37,6.54,HY
18,Total,8.37,6.54,HY
8,Male,4.1,3.67,LP
9,Male,4.66,4.19,LP
10,Male,4.63,4.31,LP
11,Male,4.4,3.45,LP
12,Male,3.98,3.54,LP
13,Male,4.36,3.56,LP
14,Male,4.98,4.27,LP
15,Male,4.3,3.46,LP
16,Male,4.81,4.13,LP
17,Male,4.98,3.98,LP
18,Male,4.98,3.98,LP
8,Female,5.09,4.06,LP
9,Female,5.59,5,LP
10,Female,4.94,3.5,LP
11,Female,4.68,3.84,LP
12,Female,4.21,3.62,LP
13,Female,4.22,3.69,LP
14,Female,4.65,3.95,LP
15,Female,5.32,4.52,LP
16,Female,5.34,4.28,LP
17,Female,5.89,3.94,LP
18,Female,5.89,3.94,LP
8,Total,4.58,3.88,LP
9,Total,5.14,4.62,LP
10,Total,4.79,3.91,LP
11,Total,4.54,2.64,LP
12,Total,4.35,3.61,LP
13,Total,4.35,3.16,LP
14,Total,4.82,4.1,LP
15,Total,4.81,4.03,LP
16,Total,5.24,4.6,LP
17,Total,5.7,3.84,LP
18,Total,5.7,3.84,LP
8,Male,2.24,3.25,AG
9,Male,2.3,3.07,AG
10,Male,2.43,3.6,AG
11,Male,2.5,2.8,AG
12,Male,2.74,2.61,AG
13,Male,2.73,2.62,AG
14,Male,3.54,3.46,AG
15,Male,3.6,3.32,AG
16,Male,3.76,4.19,AG
17,Male,4.64,4.09,AG
18,Male,4.64,4.09,AG
