Age,NormGrp,Mn,SD,Scale
6,Male,9.49,7.53,IN
7,Male,8.36,6.65,IN
8,Male,6.79,6.77,IN
9,Male,6.26,7.66,IN
10,Male,7.35,7.76,IN
11,Male,7.73,7.07,IN
12,Male,6.43,6.39,IN
13,Male,6.21,6.89,IN
14,Male,5.3,6.54,IN
15,Male,5.1,5.86,IN
16,Male,5.98,5.98,IN
17,Male,6.5,5.26,IN
18,Male,6.5,5.26,IN
6,Female,5.58,6.85,IN
7,Female,4.36,6.71,IN
8,Female,5.18,6.57,IN
9,Female,4.34,5.23,IN
10,Female,4.48,4.85,IN
11,Female,3.64,4.09,IN
12,Female,3.26,3.66,IN
13,Female,3.18,4.09,IN
14,Female,4.01,4.81,IN
15,Female,4.31,4.71,IN
16,Female,4.58,4.43,IN
17,Female,5.12,5.02,IN
18,Female,5.12,5.02,IN
6,Total,8.07,8.03,IN
7,Total,6.36,6.94,IN
8,Total,5.46,6.26,IN
9,Total,5.3,6.6,IN
10,Total,5.9,6.58,IN
11,Total,5.38,5.95,IN
12,Total,4.83,5.41,IN
13,Total,4.42,6.42,IN
14,Total,4.92,6.09,IN
15,Total,5.1,5.31,IN
16,Total,5.1,5.31,IN
17,Total,5.1,3.31,IN
18,Total,5.1,3.31,IN
6,Male,12.51,10.38,HY
7,Male,10.86,9.28,HY
8,Male,9.2,9.13,HY
9,Male,7.87,8.77,HY
10,Male,8.12,8.91,HY
11,Male,9.56,9.06,HY
12,Male,7.29,9.89,HY
13,Male,6.33,8.96,HY
14,Male,6.96,9.24,HY
15,Male,5.16,7.86,HY
16,Male,4.47,7.9,HY
17,Male,4.4,6.6,HY
18,Male,4.4,6.6,HY
6,Female,6.18,8.7,HY
7,Female,4.94,7.67,HY
8,Female,5.2,6.34,HY
9,Female,5.06,7.55,HY
10,Female,5.13,6.93,HY
11,Female,4.21,5.58,HY
12,Female,3.63,4.95,HY
13,Female,2.44,4.52,HY
14,Female,2.6,4.96,HY
15,Female,3.12,5.46,HY
16,Female,3.11,4.97,HY
17,Female,3.11,4.97,HY
18,Female,3.11,4.97,HY
6,Total,8.86,9.88,HY
7,Total,7.8,8.95,HY
8,Total,7.14,8.03,HY
9,Total,6.64,8.08,HY
10,Total,7.13,8.33,HY
11,Total,6.22,7.76,HY
12,Total,5.46,7.99,HY
13,Total,4.75,7.53,HY
14,Total,5.25,8.22,HY
15,Total,4.14,6.83,HY
16,Total,4.22,6.94,HY
17,Total,3.94,5.94,HY
18,Total,3.94,5.94,HY
6,Male,14.31,11.22,LE
7,Male,12.42,9.85,LE
8,Male,11,10.29,LE
9,Male,10.64,11.93,LE
10,Male,11.96,12.06,LE
11,Male,11.88,11.15,LE
12,Male,10.09,9.88,LE
13,Male,10.09,9.88,LE
14,Male,9.22,8.65,LE
15,Male,9.01,8.62,LE
16,Male,9.94,9.08,LE
17,Male,9.43,8.32,LE
18,Male,9.43,8.32,LE
6,Female,9.02,9.66,LE
7,Female,9.29,10.49,LE
8,Female,9.29,10.49,LE
9,Female,8.67,9.31,LE
10,Female,9,8.55,LE
11,Female,7.5,7.56,LE
12,Female,6.61,7.47,LE
13,Female,5.67,7.34,LE
14,Female,6.64,8.16,LE
15,Female,7,7.93,LE
16,Female,8.28,7.7,LE
17,Female,8.88,7.99,LE
18,Female,8.88,7.99,LE
6,Total,12.61,12,LE
7,Total,11.02,10.46,LE
8,Total,9.57,9.96,LE
9,Total,9.67,10.7,LE
10,Total,10.07,10.46,LE
11,Total,9.36,9.45,LE
12,Total,7.66,8.08,LE
13,Total,6.79,9.38,LE
14,Total,7.22,8.63,LE
15,Total,6.64,7.57,LE
16,Total,8.7,8.41,LE
17,Total,8.7,8.41,LE
18,Total,8.7,8.41,LE
6,Male,4.4,4.49,LP
7,Male,3.61,4.3,LP
8,Male,3.25,3.74,LP
9,Male,3.4,3.85,LP
10,Male,4.06,4.62,LP
11,Male,3.88,4.29,LP
12,Male,2,2.92,LP
13,Male,2.24,3.28,LP
14,Male,1.98,2.85,LP
15,Male,1.72,2.53,LP
16,Male,2.19,2.92,LP
17,Male,2.02,3.07,LP
18,Male,2.02,3.07,LP
6,Female,2.78,3.71,LP
7,Female,2.77,3.9,LP
8,Female,3.12,4.05,LP
9,Female,2.9,3.83,LP
10,Female,3.45,3.84,LP
11,Female,2.49,3.16,LP
12,Female,1.86,3,LP
13,Female,1.47,2.58,LP
14,Female,1.92,2.87,LP
15,Female,1.54,2.94,LP
16,Female,1.8,2.43,LP
17,Female,1.88,3.22,LP
18,Female,1.88,3.22,LP
6,Total,3.58,4.18,LP
7,Total,3.2,4.11,LP
8,Total,3.1,3.66,LP
9,Total,2.98,3.73,LP
10,Total,3.3,3.92,LP
11,Total,3.18,3.81,LP
12,Total,1.92,2.95,LP
13,Total,1.77,2.85,LP
14,Total,1.95,1.95,LP
15,Total,1.63,2.74,LP
16,Total,1.96,2.94,LP
17,Total,1.96,2.94,LP
